epoch,stage,lr,landm_weight,train_time_s,train_loss,train_reg,train_cls,train_landm,train_nme,train_acc,train_landm_acc,train_landm_acc_eyeL,train_landm_acc_eyeR,train_landm_acc_nose,train_landm_acc_mouthL,train_landm_acc_mouthR,train_pos_precision,train_pos_recall,train_pos_f1,train_neg_precision,train_neg_recall,val_time_s,val_loss,val_reg,val_cls,val_landm,val_nme,val_acc,val_landm_acc,val_landm_acc_eyeL,val_landm_acc_eyeR,val_landm_acc_nose,val_landm_acc_mouthL,val_landm_acc_mouthR,val_pos_precision,val_pos_recall,val_pos_f1,val_neg_precision,val_neg_recall,val_map50,val_map75,val_map
0,1,0.001,1.0,333.8,31.406894,0.326003,0.827272,29.927616,0.119312,0.99948,0.573691,0.609727,0.610715,0.455455,0.594387,0.598197,0.872905,0.862744,0.867794,0.999728,0.999751,34.3,26.965086,0.304127,0.813699,25.543133,0.095843,0.999481,0.652726,0.695919,0.684447,0.515814,0.684616,0.682863,0.873945,0.86239,0.868129,0.999727,0.999753,,,
1,1,0.001,1.0,316.8,25.277544,0.327773,0.8287,23.793299,0.089987,0.999479,0.684207,0.729075,0.724669,0.544912,0.708512,0.7139,0.872332,0.862538,0.867407,0.999728,0.99975,33.9,25.311231,0.304127,0.813699,23.889279,0.088864,0.999481,0.690058,0.731133,0.732128,0.552685,0.725109,0.709261,0.873945,0.86239,0.868129,0.999727,0.999753,,,
2,1,0.001,1.0,315.2,24.319,0.326524,0.827251,22.838702,0.085824,0.999481,0.707163,0.752686,0.747145,0.565986,0.734099,0.73593,0.873274,0.86287,0.868041,0.999728,0.999752,34.0,24.557414,0.304127,0.813699,23.135462,0.085754,0.999481,0.705871,0.751125,0.744669,0.568821,0.736783,0.727988,0.873945,0.86239,0.868129,0.999727,0.999753,,,
3,1,0.001,1.0,316.2,23.743562,0.326042,0.828259,22.263218,0.083323,0.999479,0.720406,0.764366,0.7605,0.581187,0.74567,0.750335,0.872385,0.862741,0.867536,0.999728,0.99975,33.4,23.831548,0.304127,0.813699,22.409595,0.082671,0.999481,0.723521,0.769639,0.759318,0.581517,0.752191,0.754972,0.873945,0.86239,0.868129,0.999727,0.999753,,,
4,1,0.001,1.0,316.8,23.389957,0.324994,0.827538,21.912431,0.081814,0.99948,0.729249,0.771617,0.770753,0.588786,0.756052,0.759067,0.872784,0.862693,0.867709,0.999728,0.999751,33.9,23.850474,0.304127,0.813699,22.428522,0.08267,0.999481,0.72247,0.772064,0.76702,0.561627,0.754131,0.757544,0.873945,0.86239,0.868129,0.999727,0.999753,,,
5,2,9.99882649009242e-06,1.0,320.1,23.707348,0.338512,0.86598,22.164344,0.082385,0.999437,0.724521,0.771911,0.767786,0.598226,0.742283,0.742423,0.885293,0.821657,0.852289,0.999647,0.999789,33.2,20.941817,0.237003,0.760495,19.707317,0.069857,0.999544,0.797524,0.840924,0.837425,0.682558,0.814228,0.812506,0.900426,0.865774,0.88276,0.999734,0.99981,,,
6,2,9.995306511219883e-06,1.0,316.1,19.396838,0.252223,0.74883,18.143563,0.064521,0.999548,0.831416,0.867998,0.866145,0.74079,0.84168,0.840485,0.902999,0.864235,0.883192,0.999731,0.999816,33.6,18.70528,0.228016,0.718011,17.531237,0.060276,0.999577,0.85272,0.886804,0.883753,0.769278,0.863135,0.860643,0.910859,0.872047,0.891031,0.999746,0.999831,,,
7,2,9.989441715674422e-06,1.0,318.8,18.068232,0.249606,0.724987,16.844032,0.058871,0.999562,0.862305,0.894199,0.88986,0.792075,0.869395,0.866008,0.907143,0.867275,0.886761,0.999737,0.999824,33.5,17.753839,0.229273,0.705759,16.589534,0.056368,0.999581,0.872294,0.902263,0.897725,0.803725,0.880416,0.877351,0.912275,0.872418,0.891902,0.999747,0.999833,,,
8,2,9.981234856414306e-06,1.0,320.8,17.275693,0.247233,0.711849,16.069379,0.055647,0.999564,0.878562,0.906354,0.902586,0.819509,0.884367,0.880006,0.908613,0.866681,0.887152,0.999736,0.999827,33.6,17.125385,0.23241,0.698163,15.962402,0.053775,0.999581,0.88509,0.911768,0.907311,0.826502,0.891661,0.888215,0.913035,0.871575,0.891824,0.999745,0.999835,,,
9,2,9.970689785771798e-06,1.0,323.3,16.709538,0.24793,0.705908,15.50777,0.053426,0.999562,0.888915,0.913939,0.910424,0.837606,0.893578,0.889037,0.90879,0.865584,0.886661,0.999734,0.999828,33.7,16.6757,0.235353,0.692382,15.512611,0.051968,0.999581,0.894225,0.918568,0.914946,0.843371,0.898756,0.895491,0.910593,0.87424,0.892046,0.99975,0.99983,,,
