epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,4995.45,2.14558,0.9403,0.42722,1.89708,0.03746,5.66885,0.77398,0.7413,0.82425,0.40826,0.78436,0.75965,0.84713,0.81971,1.9515,0.24745,0.20366,1.04266,0.05033,0,0.00166492,0.00166492,0.0683665
2,5250.2,1.56085,0.29292,0.20259,0.95459,0.02546,1.7431,0.93819,0.91954,0.97372,0.6967,0.93845,0.9198,0.9746,0.97079,1.18747,0.09176,0.10098,0.48516,0.02651,0,0.00333123,0.00333123,0.0366994
3,5494.36,1.37384,0.20948,0.17721,0.77398,0.02184,0.493,0.92628,0.9208,0.97448,0.72404,0.92721,0.92172,0.97486,0.97213,1.11086,0.06037,0.04983,0.50524,0.02384,0,0.00499609,0.00499609,0.00503095
4,5737.2,1.34554,0.18139,0.15127,0.71455,0.02128,0.12555,0.90798,0.9258,0.97309,0.73689,0.90767,0.92607,0.97297,0.96984,1.05789,0.05719,0.04129,0.45133,0.02306,0,0.00499512,0.00499512,0.00499512
5,5980.06,1.31979,0.16787,0.131,0.67235,0.02072,0.09237,0.96238,0.94399,0.98436,0.72136,0.96137,0.9453,0.98439,0.98135,1.17398,0.05579,0.02342,0.41778,0.02527,0,0.00499132,0.00499132,0.00499132
6,6221.06,1.2513,0.15862,0.11606,0.61728,0.0195,0.05225,0.96951,0.95813,0.99077,0.80619,0.96901,0.95747,0.99059,0.98912,0.87055,0.06137,0.0284,0.28043,0.01861,0,0.00498644,0.00498644,0.00498644
7,6463.48,1.19235,0.15498,0.11447,0.58589,0.01833,0.05377,0.96191,0.9649,0.98926,0.76756,0.96188,0.96411,0.98915,0.98773,1.00049,0.04992,0.01851,0.31217,0.02068,0,0.00498048,0.00498048,0.00498048
8,6704.64,1.13028,0.14915,0.10871,0.54632,0.01721,0.09078,0.96375,0.96032,0.99002,0.80152,0.9631,0.95967,0.98962,0.98833,0.8888,0.0446,0.02671,0.28773,0.01822,0,0.00497345,0.00497345,0.00497345
9,6946.92,1.09603,0.13094,0.10152,0.52136,0.01654,0.00354,0.96921,0.96794,0.99063,0.80629,0.96829,0.96702,0.99031,0.98921,0.88028,0.03936,0.01285,0.27266,0.01735,0,0.00496534,0.00496534,0.00496534
10,7188.5,1.05177,0.1253,0.09278,0.49089,0.01571,0.00117,0.98069,0.97043,0.99283,0.73128,0.9803,0.96951,0.99244,0.99125,1.15408,0.03608,0.0133,0.31078,0.02484,0,0.00495616,0.00495616,0.00495616
11,7429.84,1.00748,0.13101,0.09498,0.46846,0.01505,0.03439,0.97701,0.97876,0.9929,0.8233,0.97671,0.97685,0.99272,0.99156,0.79986,0.03603,0.01378,0.24202,0.01612,0,0.00494592,0.00494592,0.00494592
12,7671.27,0.99697,0.11687,0.08669,0.45601,0.0148,0.00046,0.97816,0.97645,0.99174,0.83167,0.97711,0.9754,0.99146,0.99073,0.78181,0.03097,0.01318,0.23214,0.01551,0,0.00493461,0.00493461,0.00493461
13,7912.11,0.96857,0.11115,0.0845,0.44414,0.01431,0.00075,0.98166,0.98081,0.99312,0.81746,0.98088,0.98002,0.99291,0.99254,0.84856,0.0308,0.01062,0.23729,0.01757,0,0.00492224,0.00492224,0.00492224
14,8154.1,0.95266,0.11648,0.08321,0.4302,0.014,0.00135,0.98055,0.97789,0.99297,0.82499,0.97979,0.97681,0.99281,0.99205,0.82226,0.0305,0.01097,0.24195,0.01664,0,0.00490883,0.00490883,0.00490883
15,8396.94,0.93659,0.10739,0.07926,0.42221,0.01377,0.00035,0.98151,0.97924,0.99299,0.83147,0.9822,0.975,0.99264,0.99234,0.79091,0.02836,0.01048,0.22779,0.01592,0,0.00489437,0.00489437,0.00489437
16,8637.82,0.92582,0.12436,0.08107,0.41527,0.01358,0.02527,0.98248,0.9843,0.99351,0.82637,0.98157,0.98288,0.99333,0.9931,0.8148,0.02824,0.01247,0.2234,0.01666,0,0.00487886,0.00487886,0.00487886
17,8879.24,0.91639,0.10718,0.07711,0.41352,0.01344,0.00377,0.9861,0.98398,0.99342,0.84304,0.98492,0.98265,0.9932,0.99286,0.74839,0.02826,0.01164,0.20846,0.01505,0,0.00486233,0.00486233,0.00486233
18,9120.36,0.90356,0.09894,0.07466,0.40048,0.01322,0.00037,0.99015,0.98116,0.99373,0.833,0.98917,0.97996,0.99346,0.99334,0.79452,0.02606,0.01114,0.21553,0.01612,0,0.00484477,0.00484477,0.00484477
19,9360.12,0.8952,0.11421,0.07631,0.39908,0.01303,0.03253,0.98571,0.98399,0.99321,0.85138,0.98507,0.9822,0.99298,0.99286,0.72002,0.027,0.01163,0.19891,0.01441,0,0.0048262,0.0048262,0.0048262
20,9600.78,0.8667,0.0965,0.07421,0.38338,0.01259,0.00061,0.98778,0.98407,0.99379,0.86804,0.98818,0.98155,0.99341,0.99335,0.64294,0.02602,0.011,0.1837,0.01291,0,0.00480661,0.00480661,0.00480661
21,9841.01,0.86192,0.09871,0.07359,0.38443,0.01251,0.00035,0.98894,0.98261,0.99371,0.87752,0.98775,0.9811,0.99354,0.99346,0.60299,0.02608,0.01098,0.17689,0.012,0,0.00478603,0.00478603,0.00478603
22,10082.7,0.84057,0.09776,0.07173,0.37666,0.01223,0.00063,0.98889,0.98783,0.99358,0.88815,0.98751,0.98639,0.99326,0.99319,0.56067,0.02561,0.01094,0.16583,0.01114,0,0.00476445,0.00476445,0.00476445
23,10323.2,0.82641,0.0928,0.06935,0.36786,0.01199,0,0.98842,0.98822,0.99371,0.89678,0.98791,0.98652,0.99363,0.99352,0.53545,0.0258,0.0112,0.15821,0.01056,0,0.00474189,0.00474189,0.00474189
24,10563.9,0.81153,0.09338,0.06815,0.36185,0.0118,0.00021,0.99074,0.98691,0.99357,0.90393,0.99013,0.98503,0.99344,0.99338,0.51186,0.02526,0.01033,0.15381,0.01008,0,0.00471835,0.00471835,0.00471835
25,10804.3,0.80773,0.09742,0.06759,0.35863,0.01179,0.02101,0.9899,0.98774,0.99374,0.90889,0.9882,0.98611,0.99355,0.9935,0.49869,0.02484,0.01097,0.1497,0.00983,0,0.00469386,0.00469386,0.00469386
26,11046,0.80937,0.09578,0.06883,0.35639,0.01172,0.00514,0.99017,0.98831,0.99385,0.90751,0.98846,0.98651,0.99366,0.9936,0.50218,0.02466,0.01081,0.15051,0.00992,0,0.00466841,0.00466841,0.00466841
27,11289.2,0.79565,0.08777,0.06684,0.35121,0.01153,0,0.98911,0.98809,0.99373,0.91107,0.98767,0.98665,0.99351,0.99344,0.4886,0.02456,0.01011,0.1503,0.00962,0,0.00464203,0.00464203,0.00464203
28,11530,0.79453,0.09012,0.06567,0.34879,0.01147,0,0.99133,0.98731,0.99385,0.91157,0.99027,0.98553,0.99368,0.99365,0.48772,0.02388,0.00969,0.14866,0.00961,0,0.00461471,0.00461471,0.00461471
29,11771.1,0.78415,0.08589,0.06461,0.34244,0.01131,0,0.98797,0.98902,0.99384,0.9123,0.98691,0.98757,0.99364,0.9936,0.48469,0.02371,0.00953,0.14887,0.00957,0,0.00458648,0.00458648,0.00458648
30,12010.8,0.77649,0.08822,0.06465,0.33919,0.01127,8e-05,0.98883,0.9877,0.99366,0.91466,0.98874,0.98574,0.99346,0.99341,0.48042,0.0237,0.00932,0.14888,0.0095,0,0.00455734,0.00455734,0.00455734
31,12251.4,0.77865,0.08575,0.06436,0.33975,0.01124,0,0.99028,0.98901,0.99375,0.91643,0.98964,0.98743,0.99362,0.99357,0.47493,0.02362,0.00867,0.14525,0.00938,0,0.00452732,0.00452732,0.00452732
32,12491.5,0.7706,0.09363,0.06314,0.33599,0.01107,0.03145,0.98982,0.98783,0.99322,0.9159,0.98877,0.98678,0.99308,0.99303,0.4736,0.02395,0.0089,0.14663,0.00933,0,0.00449641,0.00449641,0.00449641
33,12732.1,0.76574,0.09264,0.06332,0.33273,0.01099,0.00364,0.98953,0.98914,0.99355,0.91752,0.98835,0.98796,0.99342,0.99338,0.47187,0.02414,0.00891,0.14572,0.0093,0,0.00446464,0.00446464,0.00446464
34,12972.6,0.76319,0.08118,0.06133,0.32993,0.01102,0,0.9883,0.98691,0.99351,0.91705,0.98728,0.98547,0.99338,0.99332,0.46978,0.02399,0.00888,0.14755,0.00926,0,0.00443202,0.00443202,0.00443202
35,13213.7,0.75767,0.0834,0.06029,0.32879,0.01089,0,0.9875,0.99019,0.99366,0.91748,0.98744,0.98753,0.99352,0.99346,0.46781,0.02316,0.00908,0.1453,0.00922,0,0.00439856,0.00439856,0.00439856
36,13455.2,0.75013,0.08056,0.06012,0.32223,0.01082,0,0.99246,0.98482,0.9937,0.91767,0.99114,0.98351,0.99356,0.99351,0.46617,0.0231,0.00899,0.14545,0.00918,0,0.00436428,0.00436428,0.00436428
37,13696,0.74815,0.08355,0.06099,0.32327,0.01083,0,0.99035,0.9877,0.99341,0.91874,0.9893,0.98639,0.99328,0.99323,0.4645,0.02293,0.00891,0.14387,0.00914,0,0.0043292,0.0043292,0.0043292
38,13936.3,0.74976,0.08326,0.06174,0.32414,0.01083,0,0.99184,0.98602,0.99363,0.9197,0.99072,0.98482,0.99351,0.99347,0.46193,0.02279,0.00885,0.14279,0.00909,0,0.00429332,0.00429332,0.00429332
39,14176,0.74413,0.0897,0.06037,0.32115,0.0107,0.01202,0.99343,0.98652,0.99386,0.92151,0.99252,0.98495,0.99375,0.99371,0.46042,0.02269,0.00874,0.14107,0.00905,0,0.00425667,0.00425667,0.00425667
40,14416.5,0.73488,0.0774,0.05944,0.31197,0.01056,0.00027,0.99079,0.98888,0.99359,0.92112,0.99222,0.98514,0.99347,0.99342,0.45996,0.0228,0.00864,0.14041,0.00904,0,0.00421925,0.00421925,0.00421925
