epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,437.262,2.11471,0.94113,0.44367,1.96213,0.0369,6.27181,0.73301,0.74313,0.81896,0.49622,0.73281,0.74522,0.82219,0.81112,1.6394,0.17209,0.08288,0.99781,0.03879,0,0.000998954,0.000998954,0.0677005
2,694.607,1.59386,0.2954,0.21141,1.02692,0.02629,2.59642,0.91529,0.89793,0.96088,0.67523,0.91543,0.89806,0.96122,0.95757,1.24529,0.08364,0.08868,0.55982,0.02737,0,0.00199874,0.00199874,0.0353669
3,941.947,1.39366,0.19938,0.1851,0.8004,0.02228,0.91239,0.93145,0.90865,0.97421,0.70016,0.93145,0.90865,0.97378,0.97087,1.19996,0.05732,0.07252,0.50456,0.0271,0,0.00299765,0.00299765,0.00303252
4,1187.68,1.30933,0.161,0.15978,0.7068,0.02068,0.15499,0.92911,0.9313,0.97725,0.67108,0.92937,0.93156,0.97783,0.97421,1.34744,0.05183,0.05094,0.49089,0.03126,0,0.00299707,0.00299707,0.00299707
5,1433.01,1.3101,0.15048,0.13922,0.67828,0.02057,0.08787,0.94274,0.93069,0.98202,0.7647,0.94261,0.93056,0.98149,0.97968,0.99764,0.04818,0.03957,0.37697,0.02183,0,0.00299479,0.00299479,0.00299479
6,1679.4,1.27064,0.14761,0.12732,0.64693,0.01986,0.06999,0.95588,0.94282,0.9816,0.74668,0.95515,0.94308,0.98115,0.97973,1.05506,0.04579,0.03004,0.41378,0.0221,0,0.00299187,0.00299187,0.00299187
7,1925.06,1.19648,0.1486,0.11887,0.60047,0.01844,0.10246,0.95327,0.94687,0.985,0.74575,0.95327,0.94687,0.98485,0.98363,1.07298,0.0457,0.02299,0.39424,0.02448,0,0.00298829,0.00298829,0.00298829
8,2169.3,1.16101,0.12998,0.10723,0.56373,0.01776,0.03661,0.96404,0.96461,0.98999,0.81112,0.96357,0.96375,0.98982,0.98873,0.84282,0.03469,0.02008,0.28165,0.0176,0,0.00298407,0.00298407,0.00298407
9,2414.38,1.10478,0.12035,0.09965,0.53427,0.01682,0.00176,0.96964,0.96548,0.99039,0.82352,0.96984,0.96376,0.99001,0.98895,0.81351,0.03161,0.01484,0.26604,0.01674,0,0.0029792,0.0029792,0.0029792
10,2659.53,1.06827,0.1147,0.09157,0.50975,0.01614,0.00452,0.96872,0.96446,0.9905,0.80964,0.96819,0.96394,0.99027,0.98923,0.8548,0.03171,0.01429,0.27343,0.01772,0,0.0029737,0.0029737,0.0029737
11,2905.09,1.0231,0.12671,0.09802,0.47862,0.0154,0.05544,0.97264,0.9722,0.99173,0.80503,0.97163,0.97252,0.99153,0.99077,0.87809,0.0325,0.01538,0.27766,0.01806,0,0.00296755,0.00296755,0.00296755
12,3149.83,0.99247,0.10625,0.08785,0.46497,0.01479,0.00011,0.97587,0.97356,0.99232,0.82,0.97521,0.9729,0.99215,0.99104,0.82225,0.03109,0.01353,0.25586,0.01707,0,0.00296076,0.00296076,0.00296076
13,3394.67,0.9675,0.10515,0.08399,0.45265,0.01439,0.00119,0.98113,0.97684,0.99293,0.82093,0.98054,0.97577,0.99269,0.99249,0.82518,0.02768,0.01143,0.2441,0.01698,0,0.00295335,0.00295335,0.00295335
14,3638.68,0.95098,0.10182,0.08256,0.43343,0.01405,0.00026,0.98063,0.9802,0.99313,0.83534,0.97932,0.97917,0.99288,0.99275,0.77909,0.02723,0.012,0.22641,0.01573,0,0.0029453,0.0029453,0.0029453
15,3881.65,0.93573,0.10255,0.07793,0.42117,0.01383,0,0.98167,0.98092,0.99318,0.83101,0.98175,0.97833,0.99303,0.99283,0.79676,0.0261,0.01088,0.23753,0.01622,0,0.00293662,0.00293662,0.00293662
16,4124.8,0.91639,0.11367,0.08001,0.41492,0.01346,0.04268,0.98299,0.98282,0.99289,0.83325,0.98155,0.98138,0.99271,0.99257,0.77818,0.02619,0.01392,0.2233,0.0156,0,0.00292732,0.00292732,0.00292732
17,4368.82,0.90515,0.09272,0.0751,0.40418,0.0133,0.00019,0.98206,0.98122,0.99281,0.84069,0.98087,0.9796,0.99253,0.99244,0.75466,0.02466,0.01082,0.2211,0.01519,0,0.0029174,0.0029174,0.0029174
18,4613.45,0.90043,0.09016,0.07214,0.40001,0.01316,0,0.98387,0.98205,0.99279,0.83835,0.98332,0.97969,0.99262,0.99251,0.76086,0.02452,0.0104,0.21916,0.01531,0,0.00290686,0.00290686,0.00290686
19,4858.16,0.88776,0.09269,0.07121,0.39198,0.01297,0,0.98318,0.98063,0.99297,0.83907,0.98382,0.9788,0.99278,0.99269,0.76443,0.02394,0.01055,0.22135,0.01548,0,0.00289572,0.00289572,0.00289572
20,5102.02,0.87323,0.09018,0.07081,0.38567,0.01269,0.00018,0.98447,0.9843,0.99319,0.83999,0.98331,0.98273,0.99299,0.99291,0.7645,0.0239,0.00999,0.21609,0.01538,0,0.00288397,0.00288397,0.00288397
21,5345.6,0.87218,0.09228,0.06953,0.37835,0.01272,0,0.98333,0.9839,0.99295,0.84055,0.98311,0.98257,0.99272,0.99263,0.75404,0.02312,0.01004,0.21598,0.01523,0,0.00287162,0.00287162,0.00287162
22,5589.85,0.85609,0.09029,0.06788,0.37331,0.01251,0.00034,0.98587,0.98623,0.99313,0.85695,0.98496,0.98532,0.9929,0.99283,0.68174,0.02279,0.00978,0.19835,0.01363,0,0.00285867,0.00285867,0.00285867
23,5833.53,0.83781,0.08778,0.06629,0.36794,0.01217,0,0.98826,0.98312,0.99316,0.87834,0.98737,0.98173,0.993,0.99292,0.58782,0.02314,0.00944,0.18155,0.01191,0,0.00284513,0.00284513,0.00284513
