epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,487.013,2.07174,0.96296,0.45513,1.89815,0.0359,5.93981,0.84615,0.80963,0.90083,0.53213,0.84925,0.81165,0.90602,0.89203,1.62118,0.17689,0.0816,1.07733,0.03946,0,0.000998954,0.000998954,0.0677005
2,704.957,1.5326,0.29751,0.22728,0.98065,0.02475,1.73013,0.91408,0.91181,0.9694,0.72865,0.91553,0.91053,0.96907,0.96387,1.07896,0.07713,0.07931,0.56096,0.02284,0,0.00199874,0.00199874,0.0353669
3,912.461,1.35492,0.20088,0.19036,0.77527,0.02135,0.37108,0.93441,0.92567,0.978,0.76165,0.9347,0.92522,0.97791,0.97544,0.99413,0.06946,0.06659,0.41158,0.02113,0,0.00299765,0.00299765,0.00303252
4,1114.81,1.36188,0.18243,0.15969,0.71245,0.02141,0.12265,0.96058,0.94077,0.98582,0.72409,0.96018,0.94038,0.98568,0.9842,1.14986,0.05106,0.04207,0.38497,0.02635,0,0.00299707,0.00299707,0.00299707
5,1317.21,1.34203,0.17002,0.13699,0.67803,0.02103,0.07615,0.95219,0.94661,0.98559,0.69932,0.95298,0.9474,0.9859,0.98382,1.23171,0.07148,0.03011,0.41073,0.02864,0,0.00299479,0.00299479,0.00299479
6,1523.48,1.26323,0.15918,0.12463,0.61641,0.01956,0.10077,0.97056,0.95335,0.98846,0.79734,0.96976,0.95256,0.98759,0.98616,0.87054,0.04348,0.01673,0.31195,0.01867,0,0.00299187,0.00299187,0.00299187
7,1731.66,1.1759,0.15729,0.10903,0.56115,0.01802,0.06116,0.97458,0.9683,0.99159,0.80558,0.97467,0.96673,0.99141,0.98995,0.87422,0.0464,0.02406,0.27376,0.01856,0,0.00298829,0.00298829,0.00298829
8,1938.86,1.11604,0.14249,0.10501,0.51984,0.01685,0.02282,0.97074,0.97134,0.99167,0.78889,0.97081,0.97056,0.99149,0.99009,0.92817,0.04102,0.01533,0.30683,0.01936,0,0.00298407,0.00298407,0.00298407
9,2142.26,1.0642,0.1332,0.09446,0.48577,0.01591,0.00273,0.97958,0.9737,0.99239,0.82103,0.97892,0.97304,0.99219,0.99099,0.83024,0.03686,0.01367,0.248,0.01732,0,0.0029792,0.0029792,0.0029792
10,2344.89,1.02683,0.12582,0.09186,0.46303,0.01519,0.00021,0.98211,0.97134,0.9924,0.79113,0.98107,0.97003,0.99208,0.99089,0.90664,0.03425,0.01223,0.25811,0.01836,0,0.0029737,0.0029737,0.0029737
11,2546.45,0.9884,0.12472,0.08674,0.44156,0.01459,0.00088,0.98065,0.97474,0.9926,0.81517,0.98085,0.97304,0.99236,0.99122,0.83163,0.03269,0.0105,0.24011,0.01661,0,0.00296755,0.00296755,0.00296755
12,2745.59,0.96341,0.12144,0.08414,0.42253,0.01422,0.00242,0.98195,0.98239,0.99307,0.82994,0.98228,0.98011,0.99284,0.99241,0.80473,0.03022,0.01094,0.22627,0.01651,0,0.00296076,0.00296076,0.00296076
13,2950.55,0.93522,0.11239,0.0799,0.39925,0.01378,2e-05,0.97964,0.98207,0.99291,0.82109,0.97839,0.9805,0.99258,0.99216,0.82654,0.02855,0.00915,0.23322,0.01666,0,0.00295335,0.00295335,0.00295335
14,3156.68,0.92657,0.11666,0.07812,0.39754,0.01354,0.03543,0.98441,0.98316,0.99316,0.8329,0.98339,0.98181,0.9929,0.99272,0.79148,0.03161,0.0194,0.22199,0.01615,0,0.0029453,0.0029453,0.0029453
15,3359.16,0.91717,0.10957,0.07945,0.39093,0.01341,0.0118,0.98687,0.98346,0.99319,0.84139,0.98556,0.98215,0.99304,0.9926,0.75621,0.0295,0.01043,0.20997,0.01498,0,0.00293662,0.00293662,0.00293662
16,3563.75,0.8916,0.10135,0.07368,0.37643,0.01298,0.00152,0.98161,0.98377,0.99303,0.86211,0.98766,0.97566,0.99274,0.99261,0.66376,0.02802,0.01046,0.1986,0.0134,0,0.00292732,0.00292732,0.00292732
17,3767.77,0.86398,0.1012,0.07233,0.37068,0.01256,9e-05,0.98869,0.98343,0.99304,0.88475,0.98775,0.98117,0.99284,0.99264,0.56914,0.02704,0.00903,0.17533,0.01143,0,0.0029174,0.0029174,0.0029174
18,3969.05,0.84498,0.10059,0.07106,0.35985,0.01222,0,0.98843,0.9843,0.99301,0.89755,0.98725,0.98312,0.99283,0.99269,0.53217,0.02704,0.00992,0.16564,0.01056,0,0.00290686,0.00290686,0.00290686
19,4174.93,0.82259,0.09976,0.06918,0.34942,0.01188,0,0.98587,0.9843,0.99357,0.90405,0.98505,0.98312,0.99334,0.99324,0.50659,0.02669,0.00913,0.16032,0.01007,0,0.00289572,0.00289572,0.00289572
20,4376,0.80673,0.09671,0.06772,0.33815,0.01164,0,0.9895,0.98644,0.99373,0.90438,0.98846,0.98469,0.99329,0.99314,0.50623,0.02695,0.00959,0.15736,0.01006,0,0.00288397,0.00288397,0.00288397
21,4574.57,0.79856,0.09474,0.06821,0.33582,0.01157,0.00021,0.99081,0.98822,0.9931,0.91059,0.98943,0.98665,0.99295,0.99282,0.48827,0.02538,0.00896,0.15428,0.00968,0,0.00287162,0.00287162,0.00287162
22,4781.44,0.79393,0.09408,0.06597,0.33205,0.01138,0,0.98573,0.99005,0.99306,0.91471,0.98653,0.98731,0.99295,0.99288,0.4747,0.02539,0.00975,0.14861,0.00942,0,0.00285867,0.00285867,0.00285867
23,4984.87,0.78879,0.0939,0.06463,0.32568,0.01138,1e-05,0.98966,0.98985,0.99319,0.91632,0.98796,0.98813,0.99304,0.99296,0.46713,0.02451,0.0095,0.14899,0.0092,0,0.00284513,0.00284513,0.00284513
24,5187.19,0.78018,0.09042,0.06404,0.32198,0.01127,0,0.98939,0.98819,0.99373,0.91776,0.98768,0.98649,0.9936,0.99352,0.46724,0.02354,0.00893,0.14715,0.00926,0,0.00283101,0.00283101,0.00283101
25,5388.3,0.76775,0.08968,0.06387,0.31668,0.01102,0.00386,0.99064,0.98731,0.99357,0.91739,0.9893,0.98548,0.99344,0.99337,0.46451,0.02345,0.00931,0.14515,0.00917,0,0.00281632,0.00281632,0.00281632
26,5596.28,0.76077,0.0839,0.06184,0.31265,0.01089,0.00036,0.98957,0.98979,0.99376,0.92067,0.98937,0.98669,0.99362,0.99353,0.4599,0.02376,0.00935,0.14508,0.00908,0,0.00280105,0.00280105,0.00280105
