epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,453.402,2.10297,0.94498,0.44812,1.86128,0.03701,5.81383,0.793,0.74241,0.83472,0.38368,0.80418,0.75288,0.84903,0.82934,1.91947,0.23003,0.18205,1.27948,0.04783,0,0.000998954,0.000998954,0.0677005
2,668.137,1.57602,0.2987,0.21285,0.99375,0.02577,2.07316,0.87225,0.89571,0.95054,0.6817,0.87199,0.89545,0.95056,0.94619,1.16019,0.08901,0.08819,0.55858,0.02569,0,0.00199874,0.00199874,0.0353669
3,875.248,1.34452,0.19232,0.17861,0.78911,0.02137,0.48215,0.93153,0.91502,0.97471,0.70991,0.93139,0.91489,0.97433,0.97146,1.17857,0.05597,0.07572,0.47779,0.02479,0,0.00299765,0.00299765,0.00303252
4,1080.04,1.30203,0.17071,0.1591,0.73646,0.02059,0.10732,0.93013,0.92157,0.9749,0.70162,0.92942,0.92188,0.97446,0.97247,1.19207,0.05216,0.03938,0.52338,0.02723,0,0.00299707,0.00299707,0.00299707
5,1284.61,1.28748,0.16249,0.14316,0.69778,0.02036,0.11323,0.93141,0.93467,0.98104,0.78681,0.93128,0.93454,0.98088,0.97957,0.90538,0.04304,0.04113,0.35811,0.01939,0,0.00299479,0.00299479,0.00299479
6,1492.23,1.2579,0.15269,0.13211,0.64301,0.01956,0.08127,0.94555,0.93852,0.9829,0.7609,0.94529,0.93826,0.98269,0.98048,0.98803,0.04052,0.0283,0.39938,0.02138,0,0.00299187,0.00299187,0.00299187
7,1696.42,1.16379,0.13198,0.11164,0.58038,0.01789,0.00852,0.93955,0.94203,0.98484,0.79368,0.93904,0.94143,0.98452,0.98317,0.89767,0.04769,0.0213,0.32739,0.01851,0,0.00298829,0.00298829,0.00298829
8,1901.49,1.12595,0.13575,0.11001,0.55087,0.01719,0.05672,0.95517,0.96198,0.989,0.81603,0.95452,0.96133,0.98865,0.98752,0.82524,0.03891,0.02089,0.28093,0.01723,0,0.00298407,0.00298407,0.00298407
9,2105.05,1.07112,0.12116,0.09823,0.51677,0.0162,0.00233,0.9601,0.96043,0.98831,0.78286,0.95983,0.9597,0.98811,0.98681,0.94868,0.03535,0.01511,0.30833,0.0206,0,0.0029792,0.0029792,0.0029792
10,2306.56,1.02601,0.13614,0.1042,0.48951,0.01535,0.06756,0.95929,0.96195,0.98944,0.83004,0.95889,0.96155,0.9893,0.9881,0.77157,0.03529,0.01825,0.27973,0.01567,0,0.0029737,0.0029737,0.0029737
11,2513.4,1.00348,0.11244,0.09315,0.47491,0.01496,0.00097,0.97432,0.95812,0.99029,0.82762,0.97339,0.95721,0.9899,0.98924,0.78806,0.03167,0.01355,0.25423,0.016,0,0.00296755,0.00296755,0.00296755
12,2720.29,0.97871,0.11075,0.08811,0.454,0.0146,0.00044,0.97339,0.97174,0.99117,0.84202,0.9726,0.97096,0.99094,0.9898,0.74646,0.02967,0.01389,0.23871,0.01484,0,0.00296076,0.00296076,0.00296076
13,2921.71,0.95028,0.10479,0.08547,0.43355,0.01415,8e-05,0.97194,0.97457,0.99126,0.831,0.97103,0.97366,0.99101,0.99025,0.78356,0.02783,0.01148,0.25123,0.01572,0,0.00295335,0.00295335,0.00295335
14,3123.91,0.94127,0.1071,0.08234,0.42936,0.0139,0.00088,0.96916,0.97462,0.99184,0.84377,0.96812,0.9735,0.99153,0.99127,0.73459,0.02928,0.01193,0.23471,0.01472,0,0.0029453,0.0029453,0.0029453
15,3328.21,0.93111,0.11572,0.08433,0.42238,0.01376,0.03667,0.98342,0.9782,0.99242,0.82981,0.98237,0.97716,0.99216,0.99166,0.79454,0.03286,0.01846,0.23171,0.01588,0,0.00293662,0.00293662,0.00293662
16,3531.92,0.90784,0.09512,0.0786,0.4056,0.01339,0.00034,0.97575,0.98063,0.99206,0.8362,0.97551,0.97815,0.9917,0.99148,0.76995,0.02697,0.01317,0.23009,0.01565,0,0.00292732,0.00292732,0.00292732
